album_id,album_name,album_type,release_date,total_tracks,url
3YGf2qiHGwMsjrvxK8bKov,Hatimu jauh Hatiku luka di sana,single,2025-05-17,1,https://open.spotify.com/album/3YGf2qiHGwMsjrvxK8bKov
3q8dbYb00ABBrSymcpLtFA,Damai Yang Kucari,album,2025-07-31,10,https://open.spotify.com/album/3q8dbYb00ABBrSymcpLtFA
5kDb8M6NQKq4fvaLlTdjFl,Rasa Biru,single,2025-05-18,1,https://open.spotify.com/album/5kDb8M6NQKq4fvaLlTdjFl
2eDe1LmDrYIazHGDWJBYwy,Secepat Ini,single,2025-08-08,1,https://open.spotify.com/album/2eDe1LmDrYIazHGDWJBYwy
7L0K38nmeEwTco8mxKsxNV,Bangkit kembali,single,2025-05-30,1,https://open.spotify.com/album/7L0K38nmeEwTco8mxKsxNV
47S03IDBWoAmnb3C74yijY,"Jauh di Hati, Dekat di Luka",single,2025-05-03,1,https://open.spotify.com/album/47S03IDBWoAmnb3C74yijY
6AKl5hQqfWBT5wWaDtiMom,Cinta Tak Pernah Salah,single,2024-10-04,7,https://open.spotify.com/album/6AKl5hQqfWBT5wWaDtiMom
5cjQ3QywLDMVsAeu8vc7wg,Legacy,album,2025-02-22,8,https://open.spotify.com/album/5cjQ3QywLDMVsAeu8vc7wg
2fM3zNSbkIqNGNj9J68aDr,sosok sempurna,single,2025-08-15,1,https://open.spotify.com/album/2fM3zNSbkIqNGNj9J68aDr
2OGVmeTFCsBtoDtgOLxeou,Bagiku Kaulah Segalanya,single,2025-04-04,1,https://open.spotify.com/album/2OGVmeTFCsBtoDtgOLxeou
0kHOWC0D1GUQmvIz2nK1Mc,bergema sampai selamanya,single,2025-01-31,1,https://open.spotify.com/album/0kHOWC0D1GUQmvIz2nK1Mc
49Q2xCamqKCS2eYnatQhA8,Kisah Tanpa Arah,single,2024-05-15,1,https://open.spotify.com/album/49Q2xCamqKCS2eYnatQhA8
2LRsesnoH0uWlkyscSXQ62,Tengadah,single,2025-08-02,1,https://open.spotify.com/album/2LRsesnoH0uWlkyscSXQ62
43HfwujaIJCzdBH82pFTrg,Waktu dan Melodi,single,2025-07-25,1,https://open.spotify.com/album/43HfwujaIJCzdBH82pFTrg
3N7nbnm2rzn9ymUAVcbUPu,Bermimpi,single,2025-08-02,1,https://open.spotify.com/album/3N7nbnm2rzn9ymUAVcbUPu
4IyUAv4jWMSFbnlClbQOWS,Satukan Dengan Cinta,single,2022,1,https://open.spotify.com/album/4IyUAv4jWMSFbnlClbQOWS
0hEt3PH6b53bkKUcjG09Ee,Ngapain Repot,single,2025-04-13,1,https://open.spotify.com/album/0hEt3PH6b53bkKUcjG09Ee
14JkAa6IiFaOh5s0nMyMU9,KPop Demon Hunters (Soundtrack from the Netflix Film),album,2025-06-20,12,https://open.spotify.com/album/14JkAa6IiFaOh5s0nMyMU9
7wtv00kU9rNuFZ6uB8jIz0,Dance with Me,single,2015,1,https://open.spotify.com/album/7wtv00kU9rNuFZ6uB8jIz0
6bC8xz6QLhf6I69CGzjBUC,CHANGE ORCHESTRA (Remastered 2025),single,2025-07-16,1,https://open.spotify.com/album/6bC8xz6QLhf6I69CGzjBUC
66rw60NrIZyYSw2IbfZWDx,Melamun (Alternate),single,2025-06-19,1,https://open.spotify.com/album/66rw60NrIZyYSw2IbfZWDx
0y9i2KHDYh2gKfbpUNiM86,Membangun & Menghancurkan,album,2024-08-30,15,https://open.spotify.com/album/0y9i2KHDYh2gKfbpUNiM86
1DZHkeHPjLkuclwTVtjIOK,mejikuhibiniu,single,2025-06-27,1,https://open.spotify.com/album/1DZHkeHPjLkuclwTVtjIOK
1HjNwurDv4fn7sCLAhVpaT,Biasa Saja,single,2025-07-18,1,https://open.spotify.com/album/1HjNwurDv4fn7sCLAhVpaT
4n4ZdQUXAs9BevRhBHtGdr,Calon Mantu Idaman (feat. Ncum),single,2025-05-16,1,https://open.spotify.com/album/4n4ZdQUXAs9BevRhBHtGdr
2Xpll4oG2UqKeDuNJshrDU,Rooftop,single,2025-08-01,1,https://open.spotify.com/album/2Xpll4oG2UqKeDuNJshrDU
0YMusz6pxMr1gxVEs5kKYC,"Jangan Tanya, Tunggu Saja",single,2025-07-29,1,https://open.spotify.com/album/0YMusz6pxMr1gxVEs5kKYC
6CYiVTU1drHMvGHgMHmLQZ,Walk the Talk,album,2018-07-20,16,https://open.spotify.com/album/6CYiVTU1drHMvGHgMHmLQZ
70Bn4uvWtXrBKlbttB822R,Deslocado,single,2025-03-10,1,https://open.spotify.com/album/70Bn4uvWtXrBKlbttB822R
4So2lxknlUUwSVMaPuU1XV,Young Black & Rich,single,2024-06-01,1,https://open.spotify.com/album/4So2lxknlUUwSVMaPuU1XV
4MHVx1PFPrYUzO0zbh95Q0,Soft Machine,album,2006,13,https://open.spotify.com/album/4MHVx1PFPrYUzO0zbh95Q0
3hzoZlx2KwtvJEUl9piPWr,JUMP,single,2025-07-11,1,https://open.spotify.com/album/3hzoZlx2KwtvJEUl9piPWr
5dy5oRsWeCss5AvbWcJqr0,Pikiran dan Perjalanan,album,2019-03-08,9,https://open.spotify.com/album/5dy5oRsWeCss5AvbWcJqr0
6ZXIXOT3F3ixjH66eqJl0S,SWAG,album,2025-07-11,21,https://open.spotify.com/album/6ZXIXOT3F3ixjH66eqJl0S
7epsFufhjXWBTRp8i4IkmM,Kasih Aba Aba,single,2025-04-28,1,https://open.spotify.com/album/7epsFufhjXWBTRp8i4IkmM
2GtB6vMtpUwsQ2yqiandyJ,Menunggumu Sampai Akhir Hidup,single,2025-07-09,1,https://open.spotify.com/album/2GtB6vMtpUwsQ2yqiandyJ
1tOARzkD1moNEKrqve9Kjn,Kusuma Wijaya,single,2025-05-21,1,https://open.spotify.com/album/1tOARzkD1moNEKrqve9Kjn
2nftdSlqgiJ2lN8hu3dCEr,Forget Your Plan,album,2011,13,https://open.spotify.com/album/2nftdSlqgiJ2lN8hu3dCEr
1KN2KKeuWwdkimahJ0lmFp,Looking for Love in Wrong Places,single,2025-05-28,1,https://open.spotify.com/album/1KN2KKeuWwdkimahJ0lmFp
3ETAyPs1TjEcYIpCbYwEbk,"Saiyaara (From ""Saiyaara"")",single,2025-06-03,1,https://open.spotify.com/album/3ETAyPs1TjEcYIpCbYwEbk
1QJWpxXcEr1AH3BLeI0s65,Dame Un Grrr,single,2025-06-20,1,https://open.spotify.com/album/1QJWpxXcEr1AH3BLeI0s65
7rgnZ9iX2S9HFHmkFmSwW7,FAMOUS,single,2025-06-23,2,https://open.spotify.com/album/7rgnZ9iX2S9HFHmkFmSwW7
0QLILSOq1IqAqx62drmv4E,back to friends,single,2024-12-27,1,https://open.spotify.com/album/0QLILSOq1IqAqx62drmv4E
7ooSA4xT6dVvDN8j8AeaH0,Ok Love You Bye,single,2019-11-22,4,https://open.spotify.com/album/7ooSA4xT6dVvDN8j8AeaH0
2CpRKQIcqQkb7fspvfYbOm,ENDIKUP,album,2025-07-06,9,https://open.spotify.com/album/2CpRKQIcqQkb7fspvfYbOm
6XVW3zoK1nmskW7drvHy9h,Nalar,album,2023-04-18,10,https://open.spotify.com/album/6XVW3zoK1nmskW7drvHy9h
6GClbRFIZef2HEsqxkYFee,The Fall,album,2025-04-11,13,https://open.spotify.com/album/6GClbRFIZef2HEsqxkYFee
7Fqm1j72ZIaBOazURTNRAj,You'll Find Lovers Like You and Me,single,2025-06-26,1,https://open.spotify.com/album/7Fqm1j72ZIaBOazURTNRAj
7i0hFkyqprLGxZu5uVGEnY,Sebatas Mimpi,single,2025-06-05,1,https://open.spotify.com/album/7i0hFkyqprLGxZu5uVGEnY
7mnmJlDa4dyt7L7SQw7zXX,Aku Bisa,single,2025-07-11,1,https://open.spotify.com/album/7mnmJlDa4dyt7L7SQw7zXX
02dUOPB3MtmV5fawzaZiq6,THIS IS FOR,album,2025-07-11,14,https://open.spotify.com/album/02dUOPB3MtmV5fawzaZiq6
7C3cWsNbYPO76a5qIq8fPM,shoot,single,2025-05-02,1,https://open.spotify.com/album/7C3cWsNbYPO76a5qIq8fPM
2gdKHKZfqOqGCwJiyEe2K8,Pikiran Yang Matang,single,2025-06-20,1,https://open.spotify.com/album/2gdKHKZfqOqGCwJiyEe2K8
6rpin9IVOuBEWBYnrA9hft,Gabriela,single,2025-06-20,2,https://open.spotify.com/album/6rpin9IVOuBEWBYnrA9hft
6qnPn5mO9HnoxRKv3zhaez,we never dated,single,2025-06-20,1,https://open.spotify.com/album/6qnPn5mO9HnoxRKv3zhaez
1oJztb2MfwieRwHZ1t4NrN,Dirty Work,single,2025-06-27,4,https://open.spotify.com/album/1oJztb2MfwieRwHZ1t4NrN
2fenSS68JI1h4Fo296JfGr,folklore,album,2020-07-24,16,https://open.spotify.com/album/2fenSS68JI1h4Fo296JfGr
6SQaLfIqG305mqG6zY3FMM,Taifun,album,2015-10-16,9,https://open.spotify.com/album/6SQaLfIqG305mqG6zY3FMM
3o81FH5FTYVtoBQOZr3T7y,Fancy That,album,2025-05-09,9,https://open.spotify.com/album/3o81FH5FTYVtoBQOZr3T7y
4bPUtZdWsvU1eTPmJFuvwm,Kisah Klasik Untuk Masa Depan,album,2000-10-04,12,https://open.spotify.com/album/4bPUtZdWsvU1eTPmJFuvwm
2sOb21DLBATC7czm21LQoM,Go Back To The Future,album,2025-07-14,9,https://open.spotify.com/album/2sOb21DLBATC7czm21LQoM
5HKEezqSNuJSD5Nbrs9bhG,Lesung Pipi,single,2023-08-31,1,https://open.spotify.com/album/5HKEezqSNuJSD5Nbrs9bhG
1wD2xMSjGRFSVX8zkFEuMo,Victory Lap,single,2025-06-18,1,https://open.spotify.com/album/1wD2xMSjGRFSVX8zkFEuMo
2bCF7O4JPKcxtlOw7AtphB,STYLE,single,2025-06-18,1,https://open.spotify.com/album/2bCF7O4JPKcxtlOw7AtphB
5XvTmKurqOPaImImbDBDFv,Pendampingmu #TahtaHatiku,single,2025-05-12,1,https://open.spotify.com/album/5XvTmKurqOPaImImbDBDFv
4SVd1APxtjPLbghqMzqmBq,ambiVert,album,2025-06-24,11,https://open.spotify.com/album/4SVd1APxtjPLbghqMzqmBq
0gOmfHG7fEF7dq72Q7jl9q,Kita Usahakan Lagi,single,2025-04-11,1,https://open.spotify.com/album/0gOmfHG7fEF7dq72Q7jl9q
7GZpa8xckIRPFIbT49B4zZ,You'll Be In My Heart,single,2022-09-14,2,https://open.spotify.com/album/7GZpa8xckIRPFIbT49B4zZ
1WevIdYWogV9E4pZcXdoel,superstitious / falling in love,single,2025-05-15,2,https://open.spotify.com/album/1WevIdYWogV9E4pZcXdoel
707IGnRDU5iD3sNGnz6DXU,Jadi Tuan Putri,single,2025-06-27,1,https://open.spotify.com/album/707IGnRDU5iD3sNGnz6DXU
2eiprRNqzj5s3IPLvKsF6z,Phases - EP,single,2019-05-24,6,https://open.spotify.com/album/2eiprRNqzj5s3IPLvKsF6z
4PgleR09JVnm3zY1fW3XBA,24K Magic,album,2016-11-17,9,https://open.spotify.com/album/4PgleR09JVnm3zY1fW3XBA
5pLvtNN7EUW35oaBinPniJ,Hit Music Album Vol. 1 The Word Without You/The Moment of Goodbye,album,1971-11-20,10,https://open.spotify.com/album/5pLvtNN7EUW35oaBinPniJ
5XFwxKmkc0RmrncnPKnejB,Malapetaka,single,2025-06-27,1,https://open.spotify.com/album/5XFwxKmkc0RmrncnPKnejB
6HiRRMXgflIyrpjCiPW8rU,"Doves, '25 on Blank Canvas",album,2025-02-24,16,https://open.spotify.com/album/6HiRRMXgflIyrpjCiPW8rU
1enR50jqoFl1yz75axX2sF,Percuma,single,2025-06-27,2,https://open.spotify.com/album/1enR50jqoFl1yz75axX2sF
2ZI3XeIrCM1PsOtK3rlMth,Memorandum,album,2022-03-11,11,https://open.spotify.com/album/2ZI3XeIrCM1PsOtK3rlMth
20BlkwZZJfzNj6xTxPrehi,Minggu,single,2024-08-23,1,https://open.spotify.com/album/20BlkwZZJfzNj6xTxPrehi
3c1TKSbv7UARypYZsORhuD,Mati Satu Tak Tumbuh Lagi,single,2024-06-07,1,https://open.spotify.com/album/3c1TKSbv7UARypYZsORhuD
4t1d7lp7cX2v1HnqhlPuXd,LUAP,album,2025-05-15,8,https://open.spotify.com/album/4t1d7lp7cX2v1HnqhlPuXd
50xG9YujTzMGaLHfJTskBy,Definitely Maybe (Remastered),album,1994-08-29,44,https://open.spotify.com/album/50xG9YujTzMGaLHfJTskBy
6GlXRjLBMT6zTlNIqka1h7,Stecu Stecu,single,2025-07-10,1,https://open.spotify.com/album/6GlXRjLBMT6zTlNIqka1h7
3BSay8BCZZFWaLlSIqt4D2,1 Hari Yang Cerah,album,2012-01-27,8,https://open.spotify.com/album/3BSay8BCZZFWaLlSIqt4D2
3z8wTqpTbHtfJzfkDQsoPD,Aku Dah Lupa,single,2025-03-27,1,https://open.spotify.com/album/3z8wTqpTbHtfJzfkDQsoPD
4vQkYDrZF6U4AnH1gmllrQ,Siapa Menyangka,single,2025-06-11,1,https://open.spotify.com/album/4vQkYDrZF6U4AnH1gmllrQ
4e35vUR8z4q56iY2xgvbNA,"Ruang Baru (From ""My Annoying Brother"")",single,2024-09-13,1,https://open.spotify.com/album/4e35vUR8z4q56iY2xgvbNA
2WOyuTsNHF90SryrS3kmIN,Silakbo,album,2025-01-17,10,https://open.spotify.com/album/2WOyuTsNHF90SryrS3kmIN
5enIvPn8EEPWMGxzBzxvcm,Folded,single,2025-06-11,1,https://open.spotify.com/album/5enIvPn8EEPWMGxzBzxvcm
3ZdkT5buYFi1WQaB0XNNtf,Super Trouper,album,1980,12,https://open.spotify.com/album/3ZdkT5buYFi1WQaB0XNNtf
46Vu60ForvCqH8L7l9X6BP,Rahasia Pertama,album,2025-05-01,8,https://open.spotify.com/album/46Vu60ForvCqH8L7l9X6BP
3wRHV5fOeUcM5hvYzWZsic,Manchild,single,2025-06-05,1,https://open.spotify.com/album/3wRHV5fOeUcM5hvYzWZsic
6IUPSmTT3qHfALuaS1GMiW,Tak Ada Ujungnya,single,2024-11-14,1,https://open.spotify.com/album/6IUPSmTT3qHfALuaS1GMiW
58vZavXqh1P5uoTXteudWl,"At The Beach, In Every Life",album,2025-04-25,12,https://open.spotify.com/album/58vZavXqh1P5uoTXteudWl
55ZgL7zzNojCWXs7rLaPWJ,Teruntuk Mia,single,2024-05-31,1,https://open.spotify.com/album/55ZgL7zzNojCWXs7rLaPWJ
5tEaAx0Cb3PEOrErWE503a,Super Junior25 - The 12th Album,album,2025-07-08,9,https://open.spotify.com/album/5tEaAx0Cb3PEOrErWE503a
7bSpPZ1veveCgWfDOFVCxH,PICA PICA,single,2025-03-17,1,https://open.spotify.com/album/7bSpPZ1veveCgWfDOFVCxH
1gZqKq1K0GzN6eFaEpDFcS,Perihal Besar,album,2013-01-01,12,https://open.spotify.com/album/1gZqKq1K0GzN6eFaEpDFcS
19m6pwPmwNFSPV7wtHtg7D,undressed,single,2025-03-21,1,https://open.spotify.com/album/19m6pwPmwNFSPV7wtHtg7D
0N2jwsM6nf29RFOJBhizg0,Bunga Maaf,single,2024-11-15,2,https://open.spotify.com/album/0N2jwsM6nf29RFOJBhizg0
5aelly3dAJd7yZlgUHpLBw,blue,single,2024-08-02,1,https://open.spotify.com/album/5aelly3dAJd7yZlgUHpLBw
15qFUQwEfioE7IsgSmYKvL,MODE PESAWAT,single,2025-04-21,1,https://open.spotify.com/album/15qFUQwEfioE7IsgSmYKvL
6dVIqQ8qmQ5GBnJ9shOYGE,OK Computer,album,1997-05-28,12,https://open.spotify.com/album/6dVIqQ8qmQ5GBnJ9shOYGE
6dVCpQ7oGJD1oYs2fv1t5M,Being Funny In A Foreign Language,album,2022-10-14,11,https://open.spotify.com/album/6dVCpQ7oGJD1oYs2fv1t5M
1UZmT9gTSIiZ2uUqVL2Bhp,Blooming Inspiration,album,2024-12-04,8,https://open.spotify.com/album/1UZmT9gTSIiZ2uUqVL2Bhp
4IJKzsYmCPiZ9NRARQcIqj,Ampunilah Aku,single,2025-03-12,1,https://open.spotify.com/album/4IJKzsYmCPiZ9NRARQcIqj
30NtK7PbeEQtS8tCAGZqn7,Pelangi Selepas Hujan Reda,single,2025-06-06,1,https://open.spotify.com/album/30NtK7PbeEQtS8tCAGZqn7
0e3XVxzwIdz6JSMMwi5qW5,Sampai Bertemu Di Surga Nanti,single,2025-08-01,1,https://open.spotify.com/album/0e3XVxzwIdz6JSMMwi5qW5
2rwrTE9CyzYUFRVqjU8RW1,Terbaik,single,2025-07-04,1,https://open.spotify.com/album/2rwrTE9CyzYUFRVqjU8RW1
0hzmW1QM23Xe5Iz3cZSW0K,Semua Tentangmu,album,2017-05-08,10,https://open.spotify.com/album/0hzmW1QM23Xe5Iz3cZSW0K
4kTJj33uwl3DWDiAeNTZiN,Kawan Sejiwa,single,2025-07-27,1,https://open.spotify.com/album/4kTJj33uwl3DWDiAeNTZiN
09mPQ4gVVg1qxEKlTOBIyV,Satu Indonesia,single,2025-06-17,1,https://open.spotify.com/album/09mPQ4gVVg1qxEKlTOBIyV
3xHsTzTIE5LclfGSAFjvQH,Let It Be Gone,single,2025-07-02,1,https://open.spotify.com/album/3xHsTzTIE5LclfGSAFjvQH
0TjKRzVnaMSguX2EJe3HfO,Forever Friend,single,2025-07-25,1,https://open.spotify.com/album/0TjKRzVnaMSguX2EJe3HfO
58zrdvEiP6Py6HdmnZsTiq,Senyum Senyum Happy,single,2021-04-09,1,https://open.spotify.com/album/58zrdvEiP6Py6HdmnZsTiq
3DdwmlX9M9I9lyGAHWKJpY,Baikin Aja,single,2020-03-05,1,https://open.spotify.com/album/3DdwmlX9M9I9lyGAHWKJpY
1xE7CU85BTUYw7KpxhOlMF,Terima Kasih Tuhan Hidupku Asyik - Single,single,2015-11-24,1,https://open.spotify.com/album/1xE7CU85BTUYw7KpxhOlMF
7b3zvlpE19ozJ11BQ1ANX5,Mari Bagoyang (MARGOY),single,2025-05-23,1,https://open.spotify.com/album/7b3zvlpE19ozJ11BQ1ANX5
4zwc2b40PuOpVZCKC0O25M,Selamanya Cinta,single,2025-06-01,1,https://open.spotify.com/album/4zwc2b40PuOpVZCKC0O25M
1kQYDhggI2EcztJWvWdPKh,Moving On,single,2024-02-23,1,https://open.spotify.com/album/1kQYDhggI2EcztJWvWdPKh
2Q6DoXaaqanfjJj7oc3FAq,Mati Rasa,single,2025-07-25,1,https://open.spotify.com/album/2Q6DoXaaqanfjJj7oc3FAq
4mqIyE1PCDp3BnY4g1cr0R,PEOPLE POWER DANCE,single,2025-05-23,1,https://open.spotify.com/album/4mqIyE1PCDp3BnY4g1cr0R
4CA6jzw4MlqFIxtOcs5xr7,Authentique,album,2025-06-12,8,https://open.spotify.com/album/4CA6jzw4MlqFIxtOcs5xr7
65hiBZugUD4hPjDM4RurWC,Jalaran Sadrah,album,2024-06-21,9,https://open.spotify.com/album/65hiBZugUD4hPjDM4RurWC
5iLJvPMjT57uLUtwEN622x,SALAM TERAKHIRKU,single,2024-11-27,1,https://open.spotify.com/album/5iLJvPMjT57uLUtwEN622x
