track_id,track_name,duration_ms,popularity,album_id,is_collab
0khy5D1xcAvf8Vl5jUXfb7,Rocky,236125,2,1KCANu09QEB3HMZCAy7KKb,False
07iZng80gDpxMdv1ygHrPl,BESTAI,322632,0,7amaNxhFOJUFGJ7SiYxfti,False
6VC6SieWs1t4qL4Zuko3Yq,virus cantik,199131,0,6OcsDDXpwz06a1E4D8YuFU,False
58K0d2BVm08hK4GFXVxpxQ,Kaleidoscope (I Don't Remember How to Love So Free),294613,11,0Km93HKI7CPYVUwbl0LmUu,False
06yTARiShxjbHfJ6wTTVZB,Indonesiaku,235527,17,1x4jxK8XoPt6YXRijRsk14,True
2odaFSNqdPAl1cmuBelwEd,Gagal Nikah Nyalon Gubernur,260000,1,2666ILLFoChGfQizemuTev,False
3K6ntX4YPra80HIQjisNlt,Semua Rasa,219735,19,0whLt3ca5x9MeaxlWdjaL3,True
77wkNVGQ6uGugYRVZSCYXm,Nikah Sama Tetangga,271625,4,39cVagfPpZdCtmuAsp2pbC,True
1nNoy9VvqJ4rXyrjakiOY8,Petualangan Cinta,210855,5,0KY3jlhSb0UVZdqkEnoJ6y,True
4fFhL3RCOQ6eY3hCviUaGe,Ulang Tahun Pernikahan,249674,4,1E2Y1Tx26S6Sk1Sh9Vpaw4,True
03QrgRvnAy7uEKRCJjG5qg,Tak Di Tanganku,232383,69,7nmwxEZGiHRlQSj1G1jj4Q,True
1MdjZzEInrmDBXf8zs0nKS,Dan...,288706,80,1hrJXgaVEGovpLl9dFdqz7,False
1QjAmxYS652vXrSy3BhZ9D,Berdua Lebih Baik,221133,70,0OyN4NEEkqb2E5iiXxvJv9,False
1USA6DXJ1qsucoKnDu4vnu,Tak Kan Hilang,241714,75,6JmBf13wUd3kJEdoXgbZy5,False
1ZPVEo8RfmrEz8YAD5n6rW,Lantas,234204,78,17vUW6koeUkV58uYfkK6G3,False
1kYoDisSEsbSnO788ij9lW,Menjaga Kamu,225364,33,2Tp7hDdbD1cZsuZUodEkZ7,False
1pfbv2zouLq1j5whRYXAr0,Akhir Cinta Ini,219428,21,1JxsxnyNs7rzvHsGIG3ZW7,False
2UgCs0i0rNHUH2jKE5NZHE,Sempurna,268422,76,2puZQ79KT5q5RPae7khveD,False
3Jby9Ezr1E7wCsXe0Dexa6,Tanpa Tergesa,218405,70,17vUW6koeUkV58uYfkK6G3,False
3lOI3katUtaSPNzTib0kKf,Itu Kamu,208026,48,70edAUYslKNTNQDwZw9nY7,False
3qhlB30KknSejmIvZZLjOD,End of Beginning,159245,88,4JDXBZdRPId4devseaAOKH,False
3y8RcMPYG22fRnrOi4oFJ1,Nanti Kita Seperti Ini,209647,79,4dyBsn9yy3PXeBgIEUvZI5,False
4PR85M8Le8SBr4fU7CCadz,Tak Secinta Itu,241397,41,6l4mo22pd6Mxxq2rViRGOQ,False
4zPZ7Uy5MLeIfeq4G46UIu,Gelora Asmara,189000,43,1TgyHkafKmeUG3vvJzrSof,False
56O7JEp5hnACr1rd7TQGf4,Sesuai Janji Kita,278153,30,17ogIXTTf66hZH9vwQyvwE,False
5FInkXMyxWHOvwejaEnPRd,Sepenuh Hati,247820,67,1SCxm7IxbHVv9my7yM832a,True
5KoC6YdabgtcxPeBVJSQ9J,Tidak Banyak - Banyak,262986,45,4fYVJrm2ngaGcqYw9O4llT,False
5NmjnghJGJRFg34KGGx8O0,Seandainya,263407,78,3zzIZJAYdeMttVROyFSUfN,False
5aBpXjj0F93nt1rzqxqST6,Sudah Bisa Tertawa,195584,35,7HSx5rMcd6OlGlccE7ow9h,False
5eBk8ZXcd0pb0AO4a5PpOg,Gala bunga matahari,209693,73,5uAcLj2EJLtQtKMyDYCI0Q,False
5jLzpxUOnCsX5tfq7TGY9v,Kenangan Manis,207937,73,6CYiVTU1drHMvGHgMHmLQZ,False
5ljSDO6UpH02bQllrMR4Al,Karena Kamu,234521,70,2SmU6r1YyFGH1KwCYSithy,False
5oy5qoCYSSsf3nOEe9aIYZ,Kesepian,249939,70,0KUthdNI5OHnflJNj6Jd2g,False
630DpnzdfjdVqv2yLfPbAX,Bertaut,315960,79,75KyCmWatZRvlMcMRed9BG,False
654ZF6YNWjQS2NhwR3QnX7,Komang,222706,79,7F3BUHlrZdaKrtSQ0LEpLm,False
6Hii26x3qDErVitnGW8QtO,Runtuh,223973,79,5boeKAXsTkdFlm6OnkQxQW,True
6TWjztpwmfYqS5HzJTyhxV,Puisi,267341,37,49pqUpwILtFoDbQ3DfoHDQ,False
6cChz3Pak7UtjuVJJRZmCm,Sialan,241088,71,62tBcSn5N7vgrndYZwC4GB,True
6gjkHuMOR0CrN7Vb2NoEdg,Anugerah Terindah,282200,72,4g3aTyVwe84yOlAM9LMWro,False
6wj06az0WX7fClA2w319dO,Kata Mereka Ini Berlebihan,191141,73,5agEAxt8vks5Xk0NfEbI5D,False
